,MCC,MNC,Brand,Operator,Status,Bands (MHz),References and notes
0,901,1,ICO,ICO Satellite Management,Not operational,Satellite,MNC withdrawn[45]
1,901,2,,Unassigned,Returned spare,Unknown,Formerly: Sense Communications International
2,901,3,Iridium,,Operational,Satellite,
3,901,4,,Unassigned,Returned spare,Satellite,Formerly: Globalstar
4,901,5,,Thuraya RMSS Network,Operational,Satellite,
5,901,6,,Thuraya Satellite Telecommunications Company,Operational,Satellite,
6,901,7,,Unassigned,Returned spare,Unknown,Formerly: Ellipso
7,901,8,,Unassigned,Returned spare,Unknown,"Formerly: GSM, reserved for station identification where the mobile does not have a subscription IMSI"
8,901,9,,Unassigned,Returned spare,Unknown,Formerly: Tele1 Europe
9,901,10,ACeS,,Not operational,Satellite,MNC withdrawn[45]
10,901,11,Inmarsat,,Operational,Satellite,
11,901,12,Telenor,Telenor Maritime AS,Operational,GSM 1800 / LTE 800,Maritime; formerly Maritime Communications Partner (MCP)
12,901,13,GSM.AQ,BebbiCell AG,Operational,GSM 1800,Antarctica +88234 Network; formerly Global Networks Switzerland Inc.
13,901,14,AeroMobile,AeroMobile AS,Operational,GSM 1800,Air [46][47]
14,901,15,OnAir,OnAir Switzerland Sarl,Operational,GSM 1800,Air
15,901,16,Cisco Jasper,"Cisco Systems, Inc.",Operational,Unknown,[48]
16,901,17,Navitas,JT Group Limited,Not operational,GSM 1800,Maritime; shut down in 2009
17,901,18,Cellular @Sea,AT&T Mobility,Operational,GSM 900 / GSM 1900 / CDMA2000 1900 / UMTS 1900,Maritime [1]
18,901,19,Vodafone Malta Maritime,Monaco Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100,Maritime[49][50]
19,901,20,,Intermatica,Unknown,Unknown,
20,901,21,,Wins Limited,Operational,GSM 1800,Maritime; formerly Seanet Maritime Communications [51][47]
21,901,22,,MediaLincc Ltd,Unknown,Unknown,
22,901,23,,Unassigned,Returned spare,Unknown,Formerly: Beeline
23,901,24,iNum,Voxbone,Unknown,Unknown,+883 iNum [52]
24,901,25,,Unassigned,Returned spare,Unknown,Formerly: In & phone
25,901,26,TIM@sea,Telecom Italia Mobile,Operational,GSM 1800 / GSM 1900,Maritime [53]
26,901,27,OnMarine,Monaco Telecom,Operational,GSM 1800,Maritime[54][47]
27,901,28,Vodafone,GDSP (Vodafone's Global Data Service Platform),Operational,Roaming SIM,
28,901,29,Telenor,,Unknown,Unknown,
29,901,30,,Unassigned,Returned spare,Unknown,Formerly: Terrestar Networks
30,901,31,Orange,Orange S.A.,Operational,GSM 900,
31,901,32,Sky High,MegaFon,Operational,GSM 900,Air (Aeroflot)
32,901,33,,Smart Communications,Unknown,Unknown,
33,901,34,,tyntec GmbH,Unknown,MVNO,
